time,open,high,low,close,Volume
1783893900,25009.6,25011.2,25001.2,25001.2,111
1783893960,25001,25004.6,24994.8,24999.8,128
1783894020,24999.8,25000.6,24997.5,24998.6,92
1783894080,24999.4,25000.8,24992.4,25000.8,60
1783894140,25000.8,25000.8,24991.9,24998.4,41
1783894200,24992.4,25003.9,24992.4,25002,70
1783894260,25001.5,25001.5,24986.8,24989.7,86
1783894320,24989.4,24989.4,24976.6,24977.3,66
1783894380,24977.5,24981.8,24976.8,24981.8,66
1783894440,24982.3,24983.7,24967.6,24967.6,49
1783894500,24968.1,24977.6,24967.8,24974.8,78
1783894560,24973.8,24975.2,24970.7,24975.2,51
1783894620,24975.7,24975.9,24970.2,24975.5,56
1783894680,24976.7,24978.1,24966.4,24967.8,60
1783894740,24968.3,24976.4,24967.8,24974,66
1783894800,24973.5,24979.9,24970.2,24979.5,52
1783894860,24979.2,24979.9,24977.3,24979.9,22
1783894920,24980.2,24982.8,24979.7,24980.4,32
1783894980,24979.9,24982.3,24974.7,24982.3,44
1783895040,24981.4,24981.4,24975.7,24979.2,44
1783895100,24979.9,24980.2,24977.3,24979.7,52
1783895160,24979.2,24982.1,24979.2,24980.7,42
1783895220,24981.1,24982.1,24980.9,24982.1,28
1783895280,24982.3,24983.8,24976.4,24976.7,24
1783895340,24977.2,24981.2,24977.2,24980,36
1783895400,24980.3,24989.3,24980.3,24989.1,40
1783895460,24989.3,24991,24988.4,24991,26
1783895520,24990.3,24991.5,24988.4,24990.7,28
1783895580,24989.8,24991,24989.8,24990,20
1783895700,24989.8,24991.2,24989.3,24991.2,22
1783895760,24989.8,24990.7,24987.9,24989.1,24
1783895820,24989.3,24989.3,24986,24986.2,48
1783895880,24986.7,24987.9,24986.7,24987.6,14
1783895940,24987.9,24992.4,24987.9,24992.4,28
1783896000,24991.9,24992.4,24989.6,24990,14
1783896060,24990.5,24991,24989.8,24990.3,12
1783896120,24990.5,24991.5,24990.3,24991.5,22
1783896180,24991.2,24992.9,24990.5,24992.9,6
1783896240,24993.4,24994.3,24992.4,24992.7,30
1783896300,24992.9,24993.1,24991.2,24991.9,20
1783896360,24991,24991,24989.6,24990.7,18
1783896420,24991,24991.5,24991,24991.2,14
1783896480,24990,24990.5,24985.5,24986.7,46
1783896540,24986.5,24989.1,24986.5,24989.1,48
1783896600,24990,24991,24989.6,24991,22
1783896660,24990.7,24990.7,24989.6,24990,12
1783896720,24990.5,24994.8,24990.5,24994.6,20
1783896780,24994.1,24994.6,24993.6,24994.6,42
1783896840,24994.8,24995,24994.1,24994.3,26
1783896900,24994.1,24996,24993.6,24995.5,48
1783896960,24994.8,24996.2,24994.1,24996,54
1783897020,24996.2,24997.2,24996,24997.2,16
1783897080,24997.2,25005.3,24996.9,25005.3,8
1783897140,25005.1,25005.1,25004.4,25004.4,8
1783897200,25003.2,25003.9,24997.9,24998.4,82
1783897260,24998.7,24999.6,24997.9,24999.6,76
1783897320,24999.4,25000.6,24998.9,25000.6,26
1783897380,25000.8,25000.8,24999.6,25000.3,8
1783897440,24999.8,25000.6,24999.6,25000.6,24
1783897500,25001.5,25002,25001,25001.5,18
1783897560,25002,25004.4,25001.5,25002.9,30
1783897620,25002.5,25003.2,25002.2,25002.9,24
1783897680,25003.4,25003.9,24995.5,25001.5,36
1783897740,25001,25001.8,24995.5,25001.5,28
1783897800,25001.8,25003.9,24997.9,25003.9,28
1783897860,25004.4,25004.4,24998.4,24999.4,24
1783897920,24999.9,24999.9,24998.2,24999.1,20
1783897980,24999.6,24999.9,24999.4,24999.4,8
1783898040,24999.1,24999.6,24997.5,24999.1,36
1783898100,24999.4,24999.9,24997.5,24997.7,62
1783898160,24998,25000.6,24998,24999.4,38
1783898220,24999.1,24999.1,24996,24996,28
1783898280,24996.8,24998.2,24996.8,24998.2,14
1783898340,24997.7,24999.6,24997.7,24999.4,22
1783898400,24999.1,24999.6,24997.7,24998.2,28
1783898460,24998,24998,24996.3,24996.3,20
1783898520,24996.8,24996.8,24993.4,24993.4,22
1783898580,24993.9,24996.3,24993.9,24996.3,24
1783898640,24995.8,24995.8,24995.3,24995.8,6
1783898700,24995.3,24995.6,24994.4,24994.4,18
1783898760,24994.9,24994.9,24991.5,24992.7,32
1783898820,24993.4,24993.9,24993.2,24993.9,24
1783898880,24993.7,24994.9,24993.2,24993.7,22
1783898940,24993.9,24993.9,24991.8,24992,22
1783899000,24991.3,24992.5,24991.3,24992.5,20
1783899060,24992.9,24993.9,24990.6,24990.6,22
1783899120,24990.8,24991.5,24990.6,24991,14
1783899180,24990.6,24991.3,24989.9,24989.9,24
1783899240,24990.8,24991.5,24990.8,24990.8,10
1783899300,24990.3,24990.3,24989.4,24989.6,12
1783899360,24988.2,24990.6,24987.7,24990.6,30
1783899420,24991,24991.3,24989.6,24989.6,24
1783899480,24989.9,24991,24989.9,24991,20
1783899540,24991.3,24993.2,24991.3,24991.8,32
1783899600,24992,24992.9,24991.5,24991.5,22
1783899660,24991.3,24991.3,24990.3,24990.3,6
1783899720,24989.6,24990.6,24989.6,24990.1,30
1783899780,24989.6,24989.6,24985.8,24985.8,26
1783899840,24986,24986.5,24985.3,24986,40
1783899900,24986.8,24988.7,24984.4,24984.4,84
1783899960,24984.6,24985.3,24981.5,24982.5,102
1783900020,24982,24982.2,24978.2,24980.6,90
1783900080,24980.8,24982,24978.6,24982,52
1783900140,24982.2,24982.7,24980.6,24982,72
1783900200,24981.5,24987.7,24980.6,24987.2,89
1783900260,24987.5,24994.9,24987.2,24994.9,67
1783900320,24994.9,24996.3,24990.6,24990.6,72
1783900380,24990.3,24990.8,24988.4,24990.1,58
1783900440,24989.9,24989.9,24986.8,24988.4,63
1783900500,24988.2,24988.7,24985.8,24987,84
1783900560,24986.8,24990.1,24986.8,24990.1,46
1783900620,24990.6,24994.1,24990.6,24993.4,98
1783900680,24993.2,24993.4,24992,24992.5,58
1783900740,24992.2,24995.1,24991.5,24994.1,84
1783900800,24994.4,24998.5,24982.7,24988.2,169
1783900860,24987.5,25003.1,24987.5,25001.7,167
1783900920,25001.5,25019,25000.7,25014.7,170
1783900980,25015.6,25026.4,25014.7,25025.9,124
1783901040,25025.4,25036.7,25024.5,25035.7,128
1783901100,25034.8,25035.5,25025,25034.5,118
1783901160,25034.3,25036,25028.1,25034.8,140
1783901220,25034.3,25044.7,25033.8,25041.1,153
1783901280,25041.4,25042.8,25036.5,25037,120
1783901340,25037.2,25045.4,25036.5,25044.5,128
1783901400,25045.4,25070.1,25045.4,25066,144
1783901460,25065.5,25066.5,25058.2,25060.6,136
1783901520,25059.9,25061.8,25057,25058.7,126
1783901580,25058.4,25060.6,25055.8,25060.1,122
1783901640,25059.6,25059.6,25056.8,25057.7,108
1783901760,25031.9,25049.4,25031.4,25039.9,50
1783901820,25040.4,25040.4,25024.9,25024.9,18
1783901880,25024.4,25026.4,25015.9,25024.9,36
1783901940,25025.4,25026.9,25019.4,25025.4,50
1783902000,25026.4,25038.4,25025.9,25037.9,58
