time,open,high,low,close,Volume
1784527200,8318.4,8321.6,8317.4,8319.9,51
1784527260,8319.9,8322.9,8316.9,8322.4,61
1784527320,8321.9,8321.9,8317.1,8318.6,42
1784527380,8318.4,8318.6,8313.9,8314.1,46
1784527440,8313.1,8313.9,8311.4,8313.4,76
1784527500,8313.9,8315.9,8311.4,8312.1,56
1784527560,8312.9,8315.6,8312.9,8314.9,50
1784527620,8314.6,8314.9,8313.6,8313.9,46
1784527680,8313.9,8315.9,8313.9,8315.4,41
1784527740,8315.9,8316.4,8312.1,8312.4,34
1784527800,8311.9,8312.1,8307.6,8308.6,60
1784527860,8308.1,8308.6,8307.4,8307.4,36
1784527920,8308.1,8309.4,8307.9,8309.1,28
1784527980,8309.4,8310.1,8307.9,8308.1,39
1784528040,8308.4,8308.6,8307.4,8308.1,32
1784528100,8307.9,8309.1,8306.9,8308.9,39
1784528160,8308.6,8312.4,8308.6,8310.4,46
1784528220,8310.1,8311.9,8309.9,8310.1,45
1784528280,8309.9,8310.4,8307.9,8307.9,40
1784528340,8308.1,8311.6,8307.6,8311.6,48
1784528400,8311.9,8313.9,8311.6,8313.1,35
1784528460,8313.4,8313.4,8311.4,8311.6,22
1784528520,8311.1,8313.1,8311.1,8312.4,30
1784528580,8312.9,8313.6,8311.9,8312.6,41
1784528640,8312.4,8313.1,8308.6,8309.1,56
1784528700,8308.6,8309.1,8307.1,8308.1,44
1784528760,8307.9,8308.6,8306.9,8307.6,40
1784528820,8307.9,8309.4,8307.9,8308.6,40
1784528880,8308.1,8310.4,8308.1,8309.9,26
1784528940,8310.1,8311.4,8309.6,8309.6,28
1784529000,8309.9,8313.4,8309.1,8313.1,76
1784529060,8312.9,8313.4,8312.4,8312.6,36
1784529120,8312.1,8312.1,8309.1,8310.6,44
1784529180,8310.9,8311.6,8309.1,8310.1,42
1784529240,8309.6,8310.1,8308.9,8310.1,32
1784529300,8309.9,8309.9,8306.6,8306.9,42
1784529360,8307.1,8308.4,8306.6,8307.9,40
1784529420,8307.6,8308.1,8306.4,8306.4,40
1784529480,8306.6,8308.4,8306.6,8306.9,32
1784529540,8307.1,8307.6,8303.1,8305.4,58
1784529600,8304.9,8307.1,8304.9,8306.6,31
1784529660,8306.9,8314.6,8306.9,8314.4,74
1784529720,8314.6,8314.9,8307.4,8307.6,64
1784529780,8307.9,8309.4,8306.4,8309.4,39
1784529840,8309.6,8311.1,8309.6,8310.9,36
1784529900,8310.4,8311.4,8307.4,8308.6,76
1784529960,8308.9,8309.9,8308.9,8309.9,38
1784530020,8310.9,8311.6,8307.6,8307.6,29
1784530080,8308.1,8309.1,8308.1,8308.6,14
1784530140,8308.9,8310.9,8308.4,8309.6,50
1784530200,8309.9,8311.9,8308.4,8311.1,68
1784530260,8308.9,8313.9,8308.9,8313.9,32
1784530320,8314.4,8318.6,8314.4,8317.4,46
1784530380,8317.1,8317.9,8316.1,8316.9,36
1784530440,8316.6,8318.4,8316.1,8316.6,28
1784530500,8315.9,8316.9,8314.6,8316.4,22
1784530560,8316.6,8317.1,8316.1,8317.1,12
1784530620,8316.9,8316.9,8313.1,8314.1,48
1784530680,8313.9,8314.1,8312.4,8313.6,40
1784530740,8313.9,8319.1,8312.6,8318.6,56
1784530800,8318.4,8321.4,8311.4,8318.4,172
1784530860,8318.9,8330.6,8317.9,8330.4,150
1784530920,8330.9,8330.9,8327.9,8329.9,90
1784530980,8329.4,8329.4,8325.4,8326.9,98
1784531040,8327.4,8330.1,8324.4,8324.4,90
1784531100,8323.9,8325.9,8318.9,8318.9,112
1784531160,8319.4,8321.1,8316.1,8318.4,117
1784531220,8318.6,8320.9,8317.1,8319.4,116
1784531280,8318.9,8318.9,8314.4,8315.4,114
1784531340,8316.1,8319.6,8315.4,8315.9,98
1784531400,8315.4,8320.9,8314.9,8319.9,124
1784531460,8319.4,8326.9,8319.4,8325.9,108
1784531520,8325.4,8326.6,8322.4,8324.1,98
1784531580,8324.4,8325.4,8320.6,8321.6,104
